X,Y,Z
# Scan parameters: Height: 100cm, Layer height: 0.50cm
# Data points below:
-5.913,-0.984,0.000
-5.918,-1.009,0.000
-5.914,-1.032,0.000
-5.909,-1.055,0.000
-5.905,-1.079,0.000
-5.910,-1.103,0.000
-5.897,-1.125,0.000
-6.385,-1.244,0.000
-5.896,-1.173,0.000
-6.263,-1.271,0.000
-5.957,-1.234,0.000
-5.961,-1.259,0.000
-6.429,-1.384,0.000
-5.934,-1.302,0.000
-6.418,-1.435,0.000
-5.940,-1.352,0.000
-5.909,-1.370,0.000
-5.921,-1.397,0.000
-5.924,-1.422,0.000
-5.953,-1.454,0.000
-5.913,-1.469,0.000
-5.872,-1.483,0.000
-5.892,-1.513,0.000
-5.826,-1.520,0.000
-5.880,-1.559,0.000
-5.866,-1.580,0.000
-5.885,-1.610,0.000
-5.879,-1.633,0.000
-5.855,-1.651,0.000
-5.832,-1.669,0.000
-6.292,-1.828,0.000
-5.827,-1.718,0.000
-6.285,-1.880,0.000
-5.822,-1.766,0.000
-6.293,-1.936,0.000
-5.808,-1.812,0.000
-5.800,-1.834,0.000
-5.827,-1.868,0.000
-5.794,-1.883,0.000
-5.770,-1.900,0.000
-5.771,-1.925,0.000
-5.772,-1.951,0.000
-5.747,-1.968,0.000
-5.748,-1.993,0.000
-5.715,-2.007,0.000
-5.732,-2.038,0.000
-5.724,-2.061,0.000
-5.716,-2.083,0.000
-5.716,-2.109,0.000
-5.699,-2.128,0.000
-5.699,-2.154,0.000
-5.674,-2.170,0.000
-5.682,-2.198,0.000
-6.094,-2.385,0.000
-5.706,-2.259,0.000
-6.105,-2.445,0.000
-5.572,-2.257,0.000
-5.621,-2.303,0.000
-5.579,-2.311,0.000
-5.537,-2.319,0.000
-5.618,-2.379,0.000
-6.031,-2.582,0.000
-5.591,-2.420,0.000
-6.018,-2.632,0.000
-5.523,-2.442,0.000
-5.932,-2.650,0.000
-5.496,-2.481,0.000
-5.918,-2.700,0.000
-5.476,-2.525,0.000
-5.904,-2.750,0.000
-5.432,-2.556,0.000
-5.875,-2.793,0.000
-5.411,-2.599,0.000
-5.401,-2.620,0.000
-5.391,-2.641,0.000
-5.380,-2.662,0.000
-5.378,-2.687,0.000
-5.319,-2.684,0.000
-5.349,-2.725,0.000
-5.346,-2.750,0.000
-5.375,-2.792,0.000
-5.332,-2.797,0.000
-5.784,-3.062,0.000
-5.302,-2.834,0.000
-5.369,-2.897,0.000
-5.303,-2.889,0.000
-5.268,-2.896,0.000
-5.185,-2.877,0.000
-5.269,-2.951,0.000
-5.226,-2.954,0.000
-5.222,-2.979,0.000
-5.171,-2.977,0.000
-5.199,-3.020,0.000
-5.256,-3.081,0.000
-5.236,-3.097,0.000
-5.640,-3.366,0.000
-5.212,-3.138,0.000
-5.131,-3.116,0.000
-5.141,-3.151,0.000
-5.114,-3.161,0.000
-5.109,-3.186,0.000
-5.089,-3.201,0.000
-5.084,-3.226,0.000
-5.079,-3.251,0.000
-5.458,-3.524,0.000
-5.075,-3.305,0.000
-5.417,-3.558,0.000
-5.012,-3.320,0.000
-5.409,-3.614,0.000
-4.986,-3.360,0.000
-5.380,-3.656,0.000
-4.959,-3.399,0.000
-5.345,-3.694,0.000
-4.932,-3.438,0.000
-4.919,-3.457,0.000
-4.898,-3.471,0.000
-4.884,-3.490,0.000
-4.870,-3.509,0.000
-4.857,-3.528,0.000
-4.835,-3.542,0.000
-4.770,-3.523,0.000
-4.749,-3.536,0.000
-5.124,-3.847,0.000
-4.765,-3.607,0.000
-5.113,-3.902,0.000
-4.700,-3.616,0.000
-4.678,-3.629,0.000
-4.729,-3.698,0.000
-4.714,-3.716,0.000
-4.700,-3.735,0.000
-4.685,-3.753,0.000
-4.691,-3.789,0.000
-4.641,-3.779,0.000
-4.633,-3.803,0.000
-4.667,-3.861,0.000
-4.631,-3.862,0.000
-4.609,-3.874,0.000
-4.545,-3.851,0.000
-4.565,-3.899,0.000
-4.549,-3.917,0.000
-4.534,-3.934,0.000
-4.829,-4.224,0.000
-4.516,-3.982,0.000
-4.777,-4.245,0.000
-4.424,-3.963,0.000
-4.780,-4.316,0.000
-4.386,-3.991,0.000
-4.431,-4.064,0.000
-4.361,-4.032,0.000
-4.291,-3.998,0.000
-4.647,-4.364,0.000
-4.253,-4.025,0.000
-4.618,-4.406,0.000
-4.235,-4.072,0.000
-4.584,-4.442,0.000
-4.236,-4.137,0.000
-4.304,-4.237,0.000
-4.572,-4.536,0.000
-4.213,-4.213,0.000
-4.542,-4.578,0.000
-4.224,-4.291,0.000
-4.226,-4.327,0.000
-4.140,-4.272,0.000
-4.148,-4.314,0.000
-4.112,-4.311,0.000
-4.126,-4.360,0.000
-4.409,-4.695,0.000
-4.036,-4.332,0.000
-4.344,-4.699,0.000
-4.331,-4.722,0.000
-3.997,-4.393,0.000
-4.316,-4.780,0.000
-3.987,-4.451,0.000
-4.316,-4.856,0.000
-3.934,-4.462,0.000
-4.229,-4.835,0.000
-3.881,-4.472,0.000
-3.869,-4.494,0.000
-3.845,-4.502,0.000
-3.845,-4.538,0.000
-3.828,-4.553,0.000
-3.792,-4.547,0.000
-3.780,-4.569,0.000
-3.768,-4.591,0.000
-3.738,-4.592,0.000
-3.766,-4.663,0.000
-3.708,-4.628,0.000
-4.002,-5.036,0.000
-3.683,-4.671,0.000
-3.967,-5.073,0.000
-3.629,-4.678,0.000
-3.932,-5.111,0.000
-3.598,-4.714,0.000
-3.585,-4.735,0.000
-3.818,-5.084,0.000
-3.547,-4.763,0.000
-3.523,-4.770,0.000
-3.811,-5.202,0.000
-3.491,-4.805,0.000
-3.456,-4.796,0.000
-3.474,-4.862,0.000
-3.691,-5.208,0.000
-3.420,-4.867,0.000
-3.687,-5.290,0.000
-3.372,-4.878,0.000
-3.682,-5.372,0.000
-3.374,-4.965,0.000
-3.375,-5.008,0.000
-3.609,-5.402,0.000
-3.325,-5.019,0.000
-3.580,-5.450,0.000
-3.281,-5.038,0.000
-3.256,-5.043,0.000
-3.236,-5.056,0.000
-3.231,-5.091,0.000
-3.197,-5.081,0.000
-3.191,-5.117,0.000
-3.166,-5.121,0.000
-3.137,-5.118,0.000
-3.088,-5.084,0.000
-3.096,-5.143,0.000
-3.076,-5.155,0.000
-3.060,-5.175,0.000
-3.040,-5.187,0.000
-3.015,-5.191,0.000
